TABLE,表名,COL,字段名
W_AREA_D,W_AREA_D,AREA_NAME,区域名称（区域维）
W_AREA_D,W_AREA_D,AREA_LATITUDE,区域纬度（区域维）
W_AREA_D,W_AREA_D,AREA_LONGITUDE,区域经度（区域维）
W_AREA_D,W_AREA_D,BIG_AREA_CODE,大区编码（区域维）
W_AREA_D,W_AREA_D,BIG_AREA_LATITUDE,大区纬度（区域维）
W_AREA_D,W_AREA_D,BIG_AREA_LONGITUDE,大区经度（区域维）
W_AREA_D,W_AREA_D,BIG_AREA_NAME,大区名称（区域维）
W_AREA_D,W_AREA_D,CITIES_LATITUDE,CITIES_LATITUDE
W_AREA_D,W_AREA_D,CITIES_LONGITUDE,CITIES_LONGITUDE
W_AREA_D,W_AREA_D,CITIES_NAME,城市群名称（区域维）
W_AREA_D,W_AREA_D,CITY_LATITUDE,CITY_LATITUDE
W_AREA_D,W_AREA_D,CITY_LONGITUDE,CITY_LONGITUDE
W_AREA_D,W_AREA_D,CITY_NAME,城市名称（区域维）
W_BG_D,W_BG_D,BG_CODE,事业部编码
W_BG_D,W_BG_D,BG_NAME,事业部名称
W_DATE_D,W_DATE_D,DATE_DT,DATE_DT
W_DATE_D,W_DATE_D,DAY_DT,日期
W_DATE_D,W_DATE_D,DAY_NUM,日序号
W_DATE_D,W_DATE_D,MONTH_CODE,月编码
W_DATE_D,W_DATE_D,MONTH_DAYS,月天数
W_DATE_D,W_DATE_D,MONTH_NUM,月序号
W_DATE_D,W_DATE_D,MONTH_WEEK_CODE,月份第几周
W_DATE_D,W_DATE_D,XUN_CODE,旬编码
W_DATE_D,W_DATE_D,YEAR_NUM,年序号
W_DEALER_D,W_DEALER_D,DALER_NAME,经销商名称
W_PRODUCT_D,W_PRODUCT_D,CATEGORY_FIVE,品类五级名称
W_PRODUCT_D,W_PRODUCT_D,CATEGORY_FOUR,品类四级名称
W_PRODUCT_D,W_PRODUCT_D,CATEGORY_THREE_NAME,品类三级名称
W_PRODUCT_D,W_PRODUCT_D,MAIN_PRODUCT_FLAG,是否重点产品
W_PRODUCT_D,W_PRODUCT_D,MAIN_PRODUCT_NAME,重点产品名称
W_PRODUCT_D,W_PRODUCT_D,NEW_PRODUCT_NAME,新品名称
W_PRODUCT_D,W_PRODUCT_D,ORGANIC_FLG,有机/非有机
W_PRODUCT_D,W_PRODUCT_D,PRODUCT_BRAND,品牌
W_PRODUCT_D,W_PRODUCT_D,PRODUCT_CHILD_BRAND,子品牌
W_PRODUCT_D,W_PRODUCT_D,PRODUCT_CHILD_BRAND_CODE,子品牌CODE
W_PRODUCT_D,W_PRODUCT_D,PRODUCT_CODE,产品编码
W_PRODUCT_D,W_PRODUCT_D,PRODUCT_DESCRIBE,产品描述
W_PRODUCT_D,W_PRODUCT_D,PRODUCT_TYPE,产品类型
W_PRODUCT_D,W_PRODUCT_D,PRODUCT_TYPE_DESCRIPTION,产品类型描述
W_PRODUCT_D,W_PRODUCT_D,PROD_CATEGORY_THREE_CD,包装规格
W_PRODUCT_D,W_PRODUCT_D,PROD_CATEGORY_THREE_NM,产品类别集-三级名称
W_PRODUCT_D,W_PRODUCT_D,PROD_CATEGORY_TWO_NM,口味
W_PRODUCT_D,W_PRODUCT_D,PROD_SEGMENT,产品段
W_PRODUCT_D,W_PRODUCT_D,PROD_SEGMENT_DESC,产品段描述
W_PRODUCT_D,W_PRODUCT_D,SINGLEPACKETCAPACITY,单包容量
W_PRODUCT_D,W_PRODUCT_D,UPC3,UPC产品码
W_SALES_RATE_F_YN_DAILY,W_SALES_RATE_F_YN_DAILY,AMT_AF_WITHOUT_TAX,销售金额折后(剔税)
W_SALES_RATE_F_YN_DAILY,W_SALES_RATE_F_YN_DAILY,AMT_BF_WITHOUT_TAX,销售金额折前(剔税)
W_SALES_RATE_F_YN_DAILY,W_SALES_RATE_F_YN_DAILY,BUDGET_AMT_AF_WITHOUT_TAX,预算金额折后(剔税)
W_SALES_RATE_F_YN_DAILY,W_SALES_RATE_F_YN_DAILY,BUDGET_AMT_BF_WITHOUT_TAX,预算金额折前(剔税)
W_SALES_RATE_F_YN_DAILY,W_SALES_RATE_F_YN_DAILY,BUDGET_QTY_TON,预算数量吨
W_SALES_RATE_F_YN_DAILY,W_SALES_RATE_F_YN_DAILY,DATE_FLAG,最新业务日期标记
W_SALES_RATE_F_YN_DAILY,W_SALES_RATE_F_YN_DAILY,DATE_,DATE_
W_SALES_RATE_F_YN_DAILY,W_SALES_RATE_F_YN_DAILY,DC_AMT_AF_WITHOUT_TAX,销售金额折后(剔税)_DC
W_SALES_RATE_F_YN_DAILY,W_SALES_RATE_F_YN_DAILY,DC_AMT_BF_WITHOUT_TAX,销售金额折前(剔税)_DC
W_SALES_RATE_F_YN_DAILY,W_SALES_RATE_F_YN_DAILY,DC_QTY_BOX,销售数量件_DC
W_SALES_RATE_F_YN_DAILY,W_SALES_RATE_F_YN_DAILY,DC_QTY_TON,销售数量吨_DC
W_SALES_RATE_F_YN_DAILY,W_SALES_RATE_F_YN_DAILY,MAGO_AMT_AF_WITHOUT_TAX,上月销售金额折后(剔税)
